id,title,price,currency_id,ITEM_CONDITION,SINGLE_OWNER,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_DISPLACEMENT,LINE,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,CYLINDERS,ENGINE_MANUFACTURER,LOADING_CAPACITY,LENGTH,MCO1744-CILIND,MCO1744-TRAC,MCO1744-COMBUS,MCO1744-KMTS
MCO866551977,Ford Fiesta ,47800000,COP,Usado,Sí,Ford,4,1.6,Gasolina,59638 km,Fiesta,Mecánica,1.6 Sportback Titanium,2017,1.6 L,g7,5,120 hp,Delantera
MCO866564332,Chevrolet Spark,18450000,COP,Usado,,Chevrolet,4,1.0,Gasolina,102400 km,Spark GT,Mecánica,1.0,2012,1000 L,,,,Delantera
MCO850360009,New Volkswagen Tcross Trendline  At  2022 Entrega  Feb  As,90990000,COP,Nuevo,,Volkswagen,5,1.0 TURBO,Gasolina,0 km,T-Cross,Automática,TREDNLINE,2022,1000 L,,,,4x2,,,,
MCO850155361,Hummer H2,235000000,COP,Usado,,Hummer,5,6.2,Gasolina,27610 km,H2,Automática,6.2l,2008,6161 cc,,5,393 hp,4x4,,,,
MCO849641549,Hyundai Elantra 2017 1.6 Premium Nb,53500000,COP,Usado,,Hyundai,4,1.6,Gasolina,55000 km,Elantra,Mecánica,1.6 Premium Nb,2017,1.6 L,,5,128 hp,Delantera,,,,
MCO849622300,Toyota Corona 1993 2.0l,25000000,COP,Usado,,Toyota,4,2.0,Gasolina,99000 km,Corona,Mecánica,2.0l,1993,2 L,g10,5,128 hp,Delantera,Sí,,,
MCO849533419,Renault Duster 1.6 Expressión Mt ,53990000,COP,Usado,,Renault,5,,Gasolina,71915 km,Duster,Mecánica,1.6 Expression Mt,2018,,,,,,,,,
MCO849371854,Mercedes-benz Clase Gle Gle450 Coupé,362900000,COP,Nuevo,,Mercedes-Benz,5,,Híbrido,0 km,Clase GLE,Automática,GLE450 Coupé,2022,,,,,,,,,
MCO849122394,Mercedes-benz Clase C 2016 1.6 Avantgarde,90000000,COP,Usado,,Mercedes-Benz,4,1.6,Gasolina,57000 km,Clase C,Automática,1.6 Avantgarde,2016,1.6 L,,5,156 hp,Trasera,Sí,,,
MCO848565829,Mercedes-benz Clase C C43 Amg,219000000,COP,Usado,Sí,Mercedes-Benz,4,3.0 biturbo,Gasolina,10000 km,Clase C,Automática,C43 AMG,2020,,,,,4x2,,,,
MCO848507393,Chevrolet Cobalt 1.8 Ltz,34500000,COP,Usado,No,Chevrolet,4,1.8,Gasolina,63000 km,Cobalt,Mecánica,1.8 Ltz,2016,1.8 L,,5,,Delantera,No,,,
MCO847828931,Chevrolet Sonic 2013,35200000,COP,Usado,,Chevrolet,4,1.6,Gasolina,117000 km,Sonic,Mecánica,1.6 Lt 4 p,2013,1598 cc,,5,115 hp,Delantera,,,,
MCO847771187,Subaru Forester 2.5 Mod 2021 At,157900000,COP,Usado,,Subaru,5,,Gasolina,6284 km,Forester,Automática,Forester,2021,,,,,,,,,
MCO847764275,Suzuki Swift Dzire,57170000,COP,Nuevo,,Suzuki,5,,Gasolina,0 km,Swift,Mecánica,Sedan,2022,1197 cc,,,,Delantera,Sí,,,
MCO847789704,Porsche Cayenne S 4.5 L,79800000,COP,Usado,No,Porsche,5,4.5,Gasolina,92647 km,Cayenne,Mecánica,4.5 S,2005,4.5 L,,5,340 hp,4x4,Sí,,,
MCO847787490,Fiat Palio Adventure,36000000,COP,Usado,Sí,Fiat,5,1.6,Gasolina,113000 km,Palio Adventure,Mecánica,1.6 Locker,2013,1590 cc,,5,110 hp,4x2,Sí,,,
MCO847427426,Seat Ateca Style,122990000,COP,Nuevo,No,SEAT,5,1.4,Gasolina,0 km,Ateca,Automática,Style Sport,2022,1400 L,,,,4x2,Sí,,,
MCO847414303,Seat Ateca,122990000,COP,Nuevo,,SEAT,5,1.4,Gasolina y gas,0 km,Ateca,Automática,Style Sport,2022,1400 L,,,,4x2,Sí,,,
MCO847152630,Bmw Serie 3 1.5 318i,92000000,COP,Usado,,BMW,4,,Gasolina,27730 km,Serie 3,Automática,1.5 318i,2017,1500 cc,,,,,Sí,,,
MCO864601970,Volkswagen Golf 2016 2.0 Gti Dsg Performance,83500000,COP,Usado,,Volkswagen,5,2.0,Gasolina,49000 km,Golf,Automática,2.0 Gti Dsg Performance,2016,2 L,,5,220 hp,Delantera,Sí,,,
MCO844632366,Nissan Xtrail  Advance Modelo 2015 ,74000000,COP,Usado,Sí,Nissan,5,2.5,Gasolina,101000 km,X-Trail,Automática,2.5,2015,2500 cc,,,,4x2,Sí,,,
MCO851490634,Ford Escape Titanium 4x4 2016,78500000,COP,Usado,,Ford,5,2.0,Gasolina,75600 km,Escape,Mecánica,2.0 Titanium,2016,2 L,,5,240 hp,4x4,,,,
MCO842447777,Toyota Prado 2011 2.7 Tx Sumo,108000000,COP,Usado,,Toyota,5,2.7,Gasolina,142000 km,Prado,Mecánica,2.7 Tx Sumo,2011,2694 cc,,5,161 hp,4x4,Sí,,,
MCO849547227,Renault Captur Bosé Automática,83100000,COP,Usado,,Renault,5,,Gasolina,18500 km,Captur,Automática,Bosé automática,2022,,,,,,,,,
MCO840474274,Volkswagen Jetta Gli ,119900000,COP,Usado,,Volkswagen,4,2.0,Gasolina,24500 km,Jetta,Automática,2.0 Gli,2020,2 L,vi,5,211 hp,Delantera,Sí,,,
MCO839639996,Chevrolet Sail 2019 1.4 Ls,37500000,COP,Usado,,Chevrolet,4,1.4,Gasolina,56200 km,Sail,Mecánica,1.4 Ls,2019,1.4 L,,5,102 hp,Delantera,Sí,,,
MCO840474274,Volkswagen Jetta Gli ,119900000,COP,Usado,,Volkswagen,4,2.0,Gasolina,24500 km,Jetta,Automática,2.0 Gli,2020,2 L,vi,5,211 hp,Delantera,Sí,,,
MCO839639996,Chevrolet Sail 2019 1.4 Ls,37500000,COP,Usado,,Chevrolet,4,1.4,Gasolina,56200 km,Sail,Mecánica,1.4 Ls,2019,1.4 L,,5,102 hp,Delantera,Sí,,,
MCO855581418,Bmw X3 2.0 F25 Xdrive28i,105000000,COP,Usado,Sí,BMW,5,2.0,Gasolina,60500 km,X3,Automática,2.0 F25 Xdrive28i,2016,2 L,,5,245 hp,4x4,,,,
MCO838157980,Mini Cooper 2012 R56 1.6 Coupe,49000000,COP,Usado,,Mini,2,1.6,Gasolina,98000 km,Cooper,Mecánica,R56 1.6 Coupe,2012,1598 cc,,2,120 hp,Delantera,Sí,,,
MCO855067890,Ford Bronco 1995 5.0 Elite Xlt,33000000,COP,Usado,,Ford,5,5.0,Gasolina,300000 km,Bronco,Mecánica,5.0 Elite Xlt,1995,5000 cc,,5,210 hp,4x4,,,,
MCO854831950,Audi Q3 2015,80000000,COP,Usado,Sí,Audi,5,Gasolina 4L turbo con inyección  directa y turbo,Gasolina,66000 km,Q3,Automática,2.0 Tfsi Quattro Luxury,2015,2000 L,,,,4x4,Sí,,,
MCO851679050,Mercedes-benz Clase E 2015 2.0 Cabriolet 211 Hp,119000000,COP,Usado,,Mercedes-Benz,2,2.0,Gasolina,44000 km,Clase E,Automática,2.0 Cabriolet 211 hp,2015,1991 cc,,2,211 hp,Trasera,Sí,,,
MCO829974684,Citroën C-elysée Shine 1.6 At ,69990000,COP,Nuevo,,Citroën,4,1600,Gasolina,0 km,C-Elysée,Automática,Shine,2022,,,,,Delantera,No,,,
MCO848118546,Mercedes-benz C63 Amg Clase C 6.3 Amg Sedan,170900000,COP,Usado,Sí,Mercedes-Benz,4,6.3,Gasolina,14000 km,Clase C,Automática,6.3 Amg,2012,6.3 L,,5,,Trasera,Sí,,,
MCO826605296,Dodge Ram 5.7 At 4x2,60000000,COP,Usado,,Dodge,2,5.7,Gasolina,70543 km,Ram,Automática,5.7 At 4x2,2012,,,,,4x2,Sí,,,
MCO823386632,Mercedes-benz Clase E 2014 2.0 Cabriolet,110000000,COP,Usado,,Mercedes-Benz,2,2.0,Gasolina,30000 km,Clase E,Automática,2.0 Cabriolet,2014,1991 cc,,2,184 hp,Trasera,Sí,,,
MCO823425437,Jaguar Xkr 4.2 Coupe,200000000,COP,Usado,,Jaguar,2,,Gasolina,38000 km,XKR,Automática,4.2 Coupe,2007,,,,,,,,,
MCO847462892,Volkswagen Gol Confortline Aut,58900000,COP,Usado,,Volkswagen,5,,Gasolina,7687 km,Gol,Automática,Confortline Aut,2022,,,,,,,,,
MCO853024450,Toyota Corolla ,15000000,COP,Usado,No,Toyota,4,1.3,Gasolina,250000 km,Corolla,Mecánica,1.3l,2002,1.3 L,g9,5,86 hp,Delantera,Sí,,,
MCO856244031,Baic Mz45 2016 1.2 Bj6450l3,30000000,COP,Usado,,Baic,5,1.2,Gasolina,100000 km,Mz45,Mecánica,1.2 Bj6450l3,2016,1.2 L,,5,86 hp,4x2,Sí,,,
MCO812413648,Chevrolet Onix Turbo Mod 2021 At 1.0,66900000,COP,Usado,,Chevrolet,5,1.0,Gasolina,17 km,Onix,Automática,1.0 Turbo,2021,,,,,,,,,
MCO857577180,Bmw Serie 3 2012 2.0 328i F30 Sportline,66000000,COP,Usado,,BMW,4,2.0,Gasolina,78000 km,Serie 3,Automática,2.0 328i F30 Sportline,2012,2 L,,5,245 hp,Trasera,Sí,,,
MCO850161339,Volkswagen T-cross 1.0 Turbo Trendline Sin Techo,90490000,COP,Nuevo,,Volkswagen,5,1.0 turbo,Gasolina,0 km,T-Cross,Automática,1.0 Turbo,2021,1000 cc,,,,4x2,Sí,,,
MCO851678534,Ford Ranger Xl 3.2 4x4 Diesel,140000000,COP,Usado,,Ford,4,,Diésel,10 km,Ranger,Mecánica,xl 3.2 4x4 DIESEL,2022,,,,,,,,,
MCO808726910,Toyota Corolla Sensacion 2006 1.6 ,28000000,COP,Usado,,Toyota,4,1.6,Gasolina,162000 km,Corolla,Mecánica,1.6 Xei,2006,1598 cc,g10,5,110 hp,Delantera,Sí,,,
MCO848218813,Toyota Prado Tx Sumo,110000000,COP,Usado,,Toyota,5,2.7,Gasolina,106300 km,Prado,Automática,2.7 Tx Sumo,2011,2694 cc,,5,161 hp,4x4,Sí,,,
MCO851577389,Ford Ranger Xls 4x4 Diesel,150000000,COP,Usado,,Ford,4,,Diésel,10 km,Ranger,Mecánica,Xls 4x4 diesel,2022,,,,,,,,,
MCO857583300,Bmw X5 2016 4.4 Xdrive50i,188000000,COP,Usado,,BMW,5,4.4,Gasolina,65000 km,X5,Automática,4.4 Xdrive50i,2016,4.4 L,,5,450 hp,4x4,,,,
MCO655330740,Suzuki Scross 2wd Mt Si Tenemos Inventario!,76300000,COP,Nuevo,No,Suzuki,5,1.6,Gasolina,0 km,S-Cross,Mecánica,S-Cross,2022,1586 cc,,,,4x2,Sí,,,
MCO654797901,Renault Stepway Zen ,64890000,COP,Nuevo,,Renault,5,1600,Gasolina,0 km,Stepway,Mecánica,Zen,2022,1600 L,,,,Delantera,Sí,,,
MCO654635178,Renault Duster  Zen Cvt,86900000,COP,Nuevo,,Renault,5,"1,3 T",Gasolina,0 km,Duster,Automática,ZEN CVT,2022,13 L,,,,4x2,Sí,,,
MCO654600564,Renault Logan Life +,53750000,COP,Nuevo,,Renault,5,1600,Gasolina,0 km,Logan,Mecánica,LIFE +,2022,1600 L,,,,Delantera,Sí,,,
MCO654466633,Volkswagen Polo Comfortline At 1.6 Modelo 2022,73990000,COP,Nuevo,,Volkswagen,5,1600,Gasolina,0 km,Polo,Automática,Comfortline,2022,1600 L,,,,Delantera,Sí,,,
MCO650582811,Ds7 Crossback Performance Line 2022,166990000,COP,Nuevo,,DS,5,1.6 TurboCargado,Gasolina,0 km,DS7,Automática,DS7 Crossback Performance Line,2022,1600 L,,,,4x2,Sí,,,
MCO850790998,Mercedes-benz 250 1981 2.5 W123,22000000,COP,Usado,,Mercedes-Benz,4,2.5,Gasolina,177000 km,250,Mecánica,2.5 W123,1981,2.5 L,,5,140 hp,Trasera,Sí,,,
MCO854182442,Jeep Grand Cherokee,107000000,COP,Usado,No,Jeep,5,3.6,Gasolina,36000 km,Grand Cherokee,Automática,3.6 Limited,2014,3.6 L,,5,290 hp,4x4,Sí,,,
MCO643363060,Suzuki New Scross 2wd At Unidades Limitadas! Camioneta,80300000,COP,Nuevo,No,Suzuki,5,1.6,Gasolina,0 km,S-Cross,Automática,Gl,2022,1600 cc,,,,4x2,Sí,,,
MCO646045248,Bmw Serie 3,74990000,COP,Usado,No,BMW,4,1.6,Gasolina,87000 km,Serie 3,Automática,1.6 316i F30 Ejecutivo,2015,1.6 L,,5,,Trasera,Sí,,,
MCO852401387,Chevrolet Captiva Ltz 7p 3.2,35800000,COP,Usado,,Chevrolet,5,,Gasolina,144099 km,Captiva,Automática,LTZ  7P,2009,,,,,4x4,,,,
MCO847656934,Toyota Land Cruiser 1980 4.2 Fj40,85000000,COP,Usado,,Toyota,5,4.2,Gasolina,5000 km,Land Cruiser,Mecánica,4.2 Fj40,1980,4.2 L,,5,135 hp,4x4,Sí,,,
MCO620925201,Suzuki Vitara Live Suv Automática Unidades Limitadas!!!!!,85300000,COP,Nuevo,No,Suzuki,5,1.600,Gasolina,0 km,Vitara,Automática,GL AUTOMATICA,2022,1600 cc,,,,4x2,Sí,,,
MCO856558947,Renault Stepway Intens Cvt 2022,71990000,COP,Nuevo,,Renault,5,1.6,Gasolina,0 km,Stepway,Automática,1.6 Dynamique / Intens,2021,1.6 L,,5,105 hp,Delantera,Sí,,,
MCO850175738,Renault Nueva Koleos 2.5 Intens 4x4 Automatica Jc,140850000,COP,Nuevo,No,Renault,5,2.5,Gasolina,0 km,Koleos,Automática,INTENS,2022,2.5 L,,5,,4x4,Sí,,,
MCO804576515,Renault Duster Intens Cvt 1.3 2022,88990000,COP,Nuevo,No,Renault,4,2.0,Gasolina,0 km,Duster,Automática,DUSTER INTENS AT 2.0,2021,2 cc,,,,4x2,Sí,,,
MCO804505804,Nueva Duster 4x4 Intens 2022,91500000,COP,Nuevo,No,Renault,4,1.3,Gasolina,0 km,Duster,Mecánica,4X4 INTENS,2022,13 L,,,,4x4,Sí,,,
MCO866389379,Volkswagen Voyage 2021 1.6 Comfortline,53990000,COP,Nuevo,,Volkswagen,4,1.6,Gasolina,0 km,Voyage,Automática,1.6 Comfortline,2021,1.6 L,,5,99 hp,Delantera,Sí,,,
MCO866369835,Volkswagen T-cross Comfortline At,102490000,COP,Nuevo,,Volkswagen,5,1.0,Gasolina,0 km,T-Cross,Automática,Comfortline,2021,1000 cc,,,,Delantera,,,,
MCO609500579,Suzuki Xl7  Modelo 2022,96190000,COP,Nuevo,No,Suzuki,5,1.5,Gasolina,0 km,XL-7,Mecánica,Gl,2022,1500 cc,,,,Delantera,Sí,,,
MCO866395724,Volkswagen T-cross Trendline At,95490000,COP,Nuevo,No,Volkswagen,5,1.0 TSI,Gasolina,0 km,T-Cross,Automática,Trendline,2022,1000 L,,,,Delantera,No,,,
MCO850141655,Volkswagen Nivus 1.0t Highline At 2022,95990000,COP,Nuevo,No,Volkswagen,5,1.0,Gasolina,0 km,Nivus,Automática,1.0t Highline At,2021,1 L,,5,,Delantera,Sí,,,
MCO602542341,Renault New Koleos Zen,122600000,COP,Nuevo,No,Renault,5,2500,Gasolina,0 km,Koleos,Automática,KOLEOS ZEN,2021,2500 cc,,,,4x2,Sí,,,
MCO657766812,Captur Zen Mt 2.0 /placa Blanca/ Convenios Laborales,74266000,COP,Nuevo,No,Renault,5,,Gasolina y gas,0 km,Captur,Mecánica,Zen MT 2.0,2021,,,,,,No,,,
MCO657766937,Oroch 4x4 Mt 2.0 / Placa Blanca / Convenios Laborales,87102000,COP,Nuevo,No,Renault,4,,Gasolina y gas,0 km,Oroch 4x4,Mecánica,MT 2.0,2022,,,,,,No,,,
MCO857494671,Toyota Hilux 4x4,80000000,COP,Usado,No,Toyota,4,D-4D,Diésel,140000 km,Hilux,Mecánica,IMV 2.5L D-4D 4WD,2008,2500 cc,,,,4x4,No,,,
MCO858923560,Volkswagen Jetta Trendline,23300000,COP,Usado,No,Volkswagen,4,2000,Gasolina,137000 km,Jetta,Automática,Trendline,2006,2000 cc,,,,,No,,,
MCO865035742,Nissan New Sentra Exclusive Plus Sr 1.8 Aut 2017,60000000,COP,Usado,No,Nissan,4,1.8,Gasolina,48000 km,Sentra,Automática,SR 1.8 AT F.E,2017,1800 cc,,,,4x2,Sí,,,
MCO551032547,Kia Sportage Desire 2.0l Mt 2022 0km.,111990000,COP,Nuevo,No,Kia,4,,Gasolina,0 km,Sportage,Mecánica,Desire 2.0L Mt 2021 0 km.,2021,,,,,,Sí,,,
MCO851627787,Ford Ranger 4x4 Diesel 2020,128000000,COP,Usado,,Ford,4,,Diésel,29000 km,Ranger,Mecánica,4x4 diesel,2020,,,,,,,,,
MCO851678535,Volkswagen Amarok Trendline,110000000,COP,Usado,,Volkswagen,4,,Diésel,41000 km,Amarok,Mecánica,trendline t 4x4 diesel,2020,,,,,,,,,
MCO570976791,Suzuki New Swift Dzire,55170000,COP,Nuevo,No,Suzuki,4,1.200 CC,Gasolina,0 km,Swift Dzire,Mecánica,MECANICA,2022,1200 cc,,,,,Sí,,,
MCO570976982,Suzuki S-cross 2wd Mt Gl,76200000,COP,Nuevo,No,Suzuki,4,1.6 CC,Gasolina,0 km,SCROSS 2WD GL,Mecánica,2WD MT GL,2022,1600 cc,,,,4x2,Sí,,,
MCO866590293,Mercedes Benzc 180 2015 W205 Limited Plus At 1.6l T 154hpct,85500000,COP,Usado,No,Mercedes-Benz,4,1.6,Gasolina,28630 km,C 180,Automática,W205 Limited Plus AT 1.6L T 154HP CT,2015,1600 cc,,,,Delantera,,,,
MCO866419854,Honda Cr-v 2019 2.4 City Plus,111000000,COP,Usado,,Honda,5,2.4,Gasolina,24000 km,CR-V,Automática,2.4 City Plus,2019,2.4 L,,5,184 hp,4x2,Sí,,,
MCO866374199,Runner Sr5 4x4 Gasolina 4.0 2013,138000000,COP,Usado,Sí,Toyota,5,4.0,Gasolina,124000 km,4Runner,Automática,4.0 Sr5 Automática,2013,3956 cc,,5,275 hp,4x4,Sí,,,
MCO866392392,Acura,31000000,COP,Usado,,Acura,4,1.8,Gasolina,310000 km,Integra,Automática,1.8 Vtec,1990,1.8 L,,5,130 hp,Delantera,Sí,,,
MCO866422390,"Kia Sportage Revolution,diesel 4x4,2013 Cristhian 3173188601",66000000,COP,Usado,,Kia,5,2.0,Diésel,86100 km,Sportage,Mecánica,2.0 Revolution Diésel 4x4,2013,1995 cc,,5,177 hp,4x4,Sí,,,
MCO866395540,Suzuki Alto 2013 1.0 Std,19000000,COP,Usado,,Suzuki,5,1.0,Gasolina,90000 km,Alto,Mecánica,1.0 Std,2013,1 L,,5,67 hp,Delantera,Sí,,,
MCO866166600,Land Rover Range Rover Sport 2014 5.0 Hse Autobiography,360000000,COP,Usado,,Land Rover,5,5.0,Gasolina,50000 km,Range Rover Sport,Automática,5.0 Hse Autobiography,2014,5 L,,5,510 hp,4x4,Sí,,,
MCO866015222,Chevrolet Spark Gt 2020 1.2 Lt,39000000,COP,Usado,,Chevrolet,5,1.2,Gasolina,17000 km,Spark GT,Automática,1.2 Lt,2020,1.2 L,,5,80 hp,Delantera,Sí,,,
MCO866014701,Toyota Prado 2008 3.4 Vx Blindada,75000000,COP,Usado,,Toyota,5,3.4,Gasolina,120186 km,Prado,Automática,3.4 Vx,2008,3400 cc,,5,180 hp,4x4,Sí,,,
MCO866040324,Toyota Prado 2012 4.0 Tx Blindada,133000000,COP,Usado,,Toyota,5,4.0,Gasolina,99237 km,Prado,Automática,4.0 Tx,2012,3956 cc,,5,271 hp,4x4,Sí,,,
MCO865989239,Acura,123000000,COP,Usado,,Acura,4,1.8,Gasolina,125000 km,Integra,Automática,1.8 Vtec,1996,1.8 L,,5,170 hp,Delantera,Sí,,,
MCO866064177,Mazda 3 2019 2.0 Sport Grand Touring Lx,79000000,COP,Usado,,Mazda,5,2.0,Gasolina,55000 km,3,Automática,2.0 Sport Grand Touring Lx,2019,2 L,,5,153 hp,Delantera,Sí,,,
MCO866114516,Acura,123000000,COP,Usado,,Acura,4,1.8,Gasolina,125000 km,Integra,Automática,1.8 Vtec,1996,1.8 L,,5,170 hp,Delantera,Sí,,,
MCO866019141,Toyota Prado 2020 3.0 Tx-l Fl,264000000,COP,Usado,,Toyota,5,3.0,Diésel,36000 km,Prado,Automática,3.0 Tx-l Fl,2020,3 L,,5,170 hp,4x4,Sí,,,
MCO866044670,Mazda,123000000,COP,Usado,,Acura,4,1.8,Gasolina,125000 km,Integra,Automática,1.8 Vtec,1996,1.8 L,,5,170 hp,Delantera,Sí,,,
MCO865975649,Acura,258000000,COP,Usado,,Acura,4,1.8,Gasolina,258000 km,Integra,Automática,1.8 Vtec,1990,1.8 L,,5,130 hp,Delantera,Sí,,,
MCO865931556,Acura,2580000000,COP,Usado,,Acura,4,1.8,Gasolina,258000 km,Integra,Automática,1.8 Vtec,1990,1.8 L,,5,130 hp,Delantera,Sí,,,
MCO865974723,Renault Sandero Stepway Expression Modelo 2020,55000000,COP,Usado,Sí,Renault,5,1.6,Gasolina,22000 km,Stepway,Mecánica,1.6 Expression / Zen,2020,1.6 L,,5,105 hp,Delantera,Sí,,,
MCO866010680,Chevrolet Luv Dmax 3000 Diesel 3000,94500000,COP,Usado,,Chevrolet,2,,Diésel,130000 km,luv dmax 3000,Mecánica,diesel 3000,2013,,,,,,,,,
MCO866010671,Ford Escape Titanium,92000000,COP,Usado,Sí,Ford,5,2.0,Gasolina,34000 km,Escape,Automática,2.0 Titanium,2018,2 L,,5,245 hp,4x4,Sí,,,
MCO865930392,Acura ,310000000,COP,Usado,,Acura,4,1.8,Gasolina,310000 km,Integra,Automática,1.8 Vtec,1990,1.8 L,,5,130 hp,Delantera,Sí,,,
MCO865929949,Acura ,250000000,COP,Usado,,Acura,4,1.8,Gasolina,310000 km,Integra,Automática,1.8 Vtec,1990,1.8 L,,5,130 hp,Delantera,Sí,,,
MCO865878815,Mazda Cx-5 2.5 Grand Touring,134900000,COP,Usado,,Mazda,5,2.5,Gasolina,12500 km,CX-5,Automática,2.5 Grand Touring,2022,,,,,,,,,
MCO865743954,Mercedes Benz Cla 180. Turbo,96800000,COP,Usado,No,Mercedes-Benz,4,1.6 Turbo,Gasolina,28500 km,Clase CLA 180,Automática,1.6 Turbo,2018,1600 L,,,,Delantera,Sí,,,
MCO865792848,Bmw X5 Xdrive 40i,286000000,COP,Usado,,BMW,4,,Gasolina,4000 km,X5,Automática,Xdrive 40i,2022,,,,,,,,,
MCO865600286,Mazda Cx-3 Touring Automatica,79500000,COP,Usado,,Mazda,5,,Gasolina,52600 km,CX-3,Automática,Touring automatica,2019,,,,,,,,,
MCO865720948,Nissan Almera 2006 1.6 Sg G2,23000000,COP,Usado,,Nissan,4,1.6,Gasolina,106000 km,Almera,Mecánica,1.6 Sg G2,2006,1597 cc,g2,5,113 hp,Delantera,Sí,,,
MCO865718044,Mazda 323 Ns 1993,14000000,COP,Usado,,Mazda,5,,Gasolina,288000 km,1994,Mecánica,NS,2022,,,,,,,,,
MCO865603133,Honda Cr-v 2019 2.4 City Plus,112000000,COP,Usado,,Honda,5,2.4,Gasolina,38000 km,CR-V,Automática,2.4 City Plus,2019,2.4 L,,5,184 hp,4x2,Sí,,,
MCO865443269,Bmw 320i,75000000,COP,Usado,,BMW,4,2.0,Gasolina,53000 km,Serie 3,Automática,2.0 320i F30 Sportline,2014,2 L,,5,184 hp,Trasera,Sí,,,
MCO865473737,Bmw Serie 4 2014 2.0 428i F32 Coupe Sportline,97000000,COP,Usado,Sí,BMW,2,2.0,Gasolina,7370 km,Serie 4,Automática,2.0 428i F32 Coupe Sportline,2014,2 L,,2,245 hp,Trasera,Sí,,,
MCO865473633,Audi Rs Q5 2.5 Turbo Automatico ,225000000,COP,Usado,,Audi,5,2.5,Gasolina,14500 km,RS Q3,Automática,2.5 Tfsi Performance,2017,2.5 L,,5,367 hp,4x4,Sí,,,
MCO865288225,Chevrolet Onix Premier Turbo 2021,64900000,COP,Usado,Sí,Chevrolet,4,1.0,Gasolina,19000 km,Onix,Automática,1.0t Automática,2021,1 L,,5,115 hp,Delantera,Sí,,,
MCO865305826,Kia Cerato 2019 1.6 Vivro Vibrant Aut,69999000,COP,Usado,,Kia,4,1.6,Gasolina,15000 km,Cerato,Automática,1.6 Vivro Vibrant Aut,2019,1.6 L,,5,13 hp,Delantera,Sí,,,
MCO865242171,Alfa Romeo 159 2012 2.2 Jts Selespeed,55000000,COP,Usado,,Alfa Romeo,4,2.2,Gasolina,19900 km,159,Automática,2.2 Jts Selespeed,2012,2198 cc,,5,185 hp,Delantera,Sí,,,
MCO865170988,Volkswagen Escarabajo Full Inyección,28000000,COP,Usado,,Volkswagen,2,,Gasolina,168000 km,Escarabajo,Mecánica,full inyección,1997,,,,,,,,,
MCO865020332,Kia Sportage New Sportage Lx,90000000,COP,Usado,,Kia,5,,Gasolina,78750 km,Sportage,Automática,NEW SPORTAGE LX,2018,,,,,,,,,
MCO865025665,Volkwagen Taos Comfortline 2022,120500000,COP,Usado,Sí,Volkswagen,5,,Gasolina,500 km,Taos,Automática,COMFORTLINE,2022,1400 L,,,,4x2,,,,
MCO865025470,Toyota Fortuner 2008 4.0 Sr5 Blindada,99800000,COP,Usado,No,Toyota,5,4.0,Gasolina,160000 km,Fortuner,Mecánica,4.0 SR5 BLINDADA,2008,3956 cc,,5,,4x4,Sí,,,
MCO864896939,Volkswagen Crossfox 2009 1.6l,29800000,COP,Usado,,Volkswagen,5,1.6,Gasolina,133000 km,Crossfox,Mecánica,1.6l,2009,1598 cc,,5,101 hp,Delantera,Sí,,,
MCO865037144,Chevrolet Traverse  High Country 2018,135000000,COP,Usado,Sí,Chevrolet,5,3.6,Gasolina,45000 km,Traverse,Automática,3.6 High Country,2018,3.6 L,,5,310 hp,4x4,Sí,,,
MCO865023880,Toyota Prado 2009 3.0 Gx 94 Hp,120000000,COP,Usado,,Toyota,5,3.0,Diésel,115000 km,Prado,Mecánica,3.0 Gx 94 hp,2009,3000 cc,,5,94 hp,4x4,Sí,,,
MCO864997126,Volkswagen Amarok Trendline ¨trabajo¨ 4x4,129990000,COP,Nuevo,,Volkswagen,5,2000,Diésel,0 km,Amarok,Mecánica,Trendline trabajo,2022,2000 L,,,,4x4,,,,
MCO864996782,Mazda 3 2015 2.0 Grand Touring,67000000,COP,Usado,,Mazda,4,2.0,Gasolina,121000 km,3,Mecánica,2.0 Grand Touring,2015,2 L,,5,153 hp,Delantera,Sí,,,
MCO864996782,Mazda 3 2015 2.0 Grand Touring,67000000,COP,Usado,,Mazda,4,2.0,Gasolina,121000 km,3,Mecánica,2.0 Grand Touring,2015,2 L,,5,153 hp,Delantera,Sí,,,
MCO864812826,Kia Sportage 2013 2.0 Revolution Diésel 4x2,62400000,COP,Usado,Sí,Kia,5,2.0,Diésel,72000 km,Sportage,Mecánica,2.0 Revolution Diésel 4x2,2013,1995 cc,,5,177 hp,4x2,Sí,,,
MCO864734393,Ford Fusion 2015 2.0 Titanium,62000000,COP,Usado,,Ford,4,2.0,Gasolina,72000 km,Fusion,Mecánica,2.0 Titanium,2015,2 L,,5,240 hp,Delantera,,,,
MCO864624099,Renault Sandero 2016 1.6 Gt Line,35200000,COP,Usado,,Renault,5,1.6,Gasolina,65000 km,Sandero,Mecánica,1.6 Gt Line,2016,1.6 L,,5,110 hp,Delantera,Sí,,,
MCO864585306,Kia Soul 2016 1.6,48000000,COP,Usado,,Kia,5,1.6,Gasolina,80000 km,Soul,Mecánica,1.6,2016,1.6 L,,5,124 hp,Delantera,Sí,,,
